Reactants,,,,,Products,,,,,Coefficient A,Coefficent B,Coefficent C,Coefficient D,,Coefficent F,Coefficent G,Coefficent H,Coefficient I,Average Coeficient,Minimum,Count,Difficulty (Average+Minimum+Count)
? C3​H6​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,4,,, →,3,3,,,2.750,1,4,7.750
? C4​H8​O,? O2​,,, →, ? CO2​,? H2​O,,,,2,11,,, →,8,8,,,7.250,2,4,13.250
? C5​H10​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,7,,, →,5,5,,,4.500,1,4,9.500
? C5​H10​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,7,,, →,5,5,,,4.500,1,4,9.500
? (NH2​)2​CO,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,2,3,,, →,2,4,2,,2.600,2,5,9.600
? C6​H5​NH2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,31,,, →,24,14,2,,15.000,2,5,22.000
? CH3​NH2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,9,,, →,4,10,2,,5.800,2,5,12.800
? C2​H5​NH2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,15,,, →,8,14,2,,8.600,2,5,15.600
? C5​H5​N,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,25,,, →,20,10,2,,12.200,2,5,19.200
? CH3​NO2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,3,,, →,4,6,2,,3.800,2,5,10.800
? N2​H4​,? O2​,,, →, ? N2​,? H2​O,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? CH3​CN,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,11,,, →,8,6,2,,6.200,2,5,13.200
? Zn,? HCl,,, →, ? ZnCl2​,? H2​,,,,1,2,,, →,1,1,,,1.250,1,4,6.250
? Fe,? CuSO4​,,, →, ? FeSO4​,? Cu,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? Mg,? AgNO3​,,, →, ? Mg(NO3​)2​,? Ag,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? Cu,? AgNO3​,,, →, ? Cu(NO3​)2​,? Ag,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? Al,? CuCl2​,,, →, ? AlCl3​,? Cu,,,,2,3,,, →,2,3,,,2.500,2,4,8.500
? Na,? H2​O,,, →, ? NaOH,? H2​,,,,2,2,,, →,2,1,,,1.750,1,4,6.750
? Cl2​,? NaBr,,, →, ? NaCl,? Br2​,,,,1,2,,, →,2,1,,,1.500,1,4,6.500
? Zn,? CuSO4​,,, →, ? ZnSO4​,? Cu,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? K,? H2​O,,, →, ? KOH,? H2​,,,,2,2,,, →,2,1,,,1.750,1,4,6.750
? Mg,? HCl,,, →, ? MgCl2​,? H2​,,,,1,2,,, →,1,1,,,1.250,1,4,6.250
? Ca,? H2​O,,, →, ? Ca(OH)2​,? H2​,,,,1,2,,, →,1,1,,,1.250,1,4,6.250
? Br2​,? KI,,, →, ? KBr,? I2​,,,,1,2,,, →,2,1,,,1.500,1,4,6.500
? Fe,? Pb(NO3​)2​,,, →, ? Fe(NO3​)2​,? Pb,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? Pb,? AgNO3​,,, →, ? Pb(NO3​)2​,? Ag,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? Al,? HCl,,, →, ? AlCl3​,? H2​,,,,2,6,,, →,2,3,,,3.250,2,4,9.250
? Zn,? SnCl2​,,, →, ? ZnCl2​,? Sn,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? Li,? H2​O,,, →, ? LiOH,? H2​,,,,2,2,,, →,2,1,,,1.750,1,4,6.750
? Cu,? Hg(NO3​)2​,,, →, ? Cu(NO3​)2​,? Hg,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? Mg,? FeSO4​,,, →, ? MgSO4​,? Fe,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? Cl2​,? KI,,, →, ? KCl,? I2​,,,,1,2,,, →,2,1,,,1.500,1,4,6.500
? AgNO3​,? NaCl,,, →, ? AgCl,? NaNO3​,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? BaCl2​,? Na2​SO4​,,, →, ? BaSO4​,? NaCl,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? HCl,? NaOH,,, →, ? NaCl,? H2​O,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? Pb(NO3​)2​,? KI,,, →, ? PbI2​,? KNO3​,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? H2​SO4​,? KOH,,, →, ? K2​SO4​,? H2​O,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? CaCl2​,? Na2​CO3​,,, →, ? CaCO3​,? NaCl,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? Na2​S,? HCl,,, →, ? NaCl,? H2​S,,,,1,2,,, →,2,1,,,1.500,1,4,6.500
? CuSO4​,? NaOH,,, →, ? Cu(OH)2​,? Na2​SO4​,,,,1,2,,, →,1,1,,,1.250,1,4,6.250
? Al(NO3​)3​,? NaOH,,, →, ? Al(OH)3​,? NaNO3​,,,,1,3,,, →,1,3,,,2.000,1,4,7.000
? HNO3​,? NH4​OH,,, →, ? NH4​NO3​,? H2​O,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? FeCl3​,? KOH,,, →, ? Fe(OH)3​,? KCl,,,,1,3,,, →,1,3,,,2.000,1,4,7.000
? Ba(NO3​)2​,? K2​CrO4​,,, →, ? BaCrO4​,? KNO3​,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? MgCl2​,? AgNO3​,,, →, ? Mg(NO3​)2​,? AgCl,,,,1,2,,, →,1,2,,,1.500,1,4,6.500
? CH3​COOH,? NaOH,,, →, ? CH3​COONa,? H2​O,,,,1,1,,, →,1,1,,,1.000,1,4,6.000
? Pb(C2​H3​O2​)2​,? K2​SO4​,,, →, ? PbSO4​,? KC2​H3​O2​,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? K2​CO3​,? HCl,,, →, ? KCl,? H2​O,? CO2​,,,1,2,,, →,2,1,1,,1.400,1,5,7.400
? Cd(NO3​)2​,? Na2​S,,, →, ? CdS,? NaNO3​,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? H3​PO4​,? NaOH,,, →, ? Na3​PO4​,? H2​O,,,,1,3,,, →,1,3,,,2.000,1,4,7.000
? ZnCl2​,? (NH4​)2​S,,, →, ? ZnS,? NH4​Cl,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? SrCl2​,? Li2​SO4​,,, →, ? SrSO4​,? LiCl,,,,1,1,,, →,1,2,,,1.250,1,4,6.250
? H2​,? O2​,,, →, ? H2​O,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? Na,? Cl2​,,, →, ? NaCl,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? Mg,? O2​,,, →, ? MgO,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? N2​,? H2​,,, →, ? NH3​,,,,,1,3,,, →,2,,,,2.000,1,3,6.000
? Fe,? Cl2​,,, →, ? FeCl3​,,,,,2,3,,, →,2,,,,2.333,2,3,7.333
? SO2​,? O2​,,, →, ? SO3​,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? Ca,? O2​,,, →, ? CaO,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? Al,? O2​,,, →, ? Al2​O3​,,,,,4,3,,, →,2,,,,3.000,2,3,8.000
? C,? O2​,,, →, ? CO2​,,,,,1,1,,, →,1,,,,1.000,1,3,5.000
? P4​,? O2​,,, →, ? P4​O10​,,,,,1,5,,, →,1,,,,2.333,1,3,6.333
? Li,? N2​,,, →, ? Li3​N,,,,,6,1,,, →,2,,,,3.000,1,3,7.000
? K,? Br2​,,, →, ? KBr,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? Cu,? O2​,,, →, ? CuO,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? Fe,? S,,, →, ? FeS,,,,,1,1,,, →,1,,,,1.000,1,3,5.000
? H2​,? Cl2​,,, →, ? HCl,,,,,1,1,,, →,2,,,,1.333,1,3,5.333
? Ba,? F2​,,, →, ? BaF2​,,,,,1,1,,, →,1,,,,1.000,1,3,5.000
? Ag,? S,,, →, ? Ag2​S,,,,,2,1,,, →,1,,,,1.333,1,3,5.333
? Zn,? O2​,,, →, ? ZnO,,,,,2,1,,, →,2,,,,1.667,1,3,5.667
? Na,? O2​,,, →, ? Na2​O,,,,,4,1,,, →,2,,,,2.333,1,3,6.333
? Ca,? N2​,,, →, ? Ca3​N2​,,,,,3,1,,, →,1,,,,1.667,1,3,5.667
? HgO,,,, →, ? Hg,? O2​,,,,2,,,, →,2,1,,,1.667,1,3,5.667
? CaCO3​,,,, →, ? CaO,? CO2​,,,,1,,,, →,1,1,,,1.000,1,3,5.000
? H2​O,,,, →, ? H2​,? O2​,,,,2,,,, →,2,1,,,1.667,1,3,5.667
? KClO3​,,,, →, ? KCl,? O2​,,,,2,,,, →,2,3,,,2.333,2,3,7.333
? NaHCO3​,,,, →, ? Na2​CO3​,? H2​O,? CO2​,,,2,,,, →,1,1,1,,1.250,1,4,6.250
? H2​O2​,,,, →, ? H2​O,? O2​,,,,2,,,, →,2,1,,,1.667,1,3,5.667
? AgCl,,,, →, ? Ag,? Cl2​,,,,2,,,, →,2,1,,,1.667,1,3,5.667
? MgCO3​,,,, →, ? MgO,? CO2​,,,,1,,,, →,1,1,,,1.000,1,3,5.000
? CuCO3​,,,, →, ? CuO,? CO2​,,,,1,,,, →,1,1,,,1.000,1,3,5.000
? Pb(NO3​)2​,,,, →, ? PbO,? NO2​,? O2​,,,2,,,, →,2,4,1,,2.250,1,4,7.250
? NH4​NO3​,,,, →, ? N2​O,? H2​O,,,,1,,,, →,1,2,,,1.333,1,3,5.333
? Al2​O3​,,,, →, ? Al,? O2​,,,,2,,,, →,4,3,,,3.000,2,3,8.000
? NaCl,,,, →, ? Na,? Cl2​,,,,2,,,, →,2,1,,,1.667,1,3,5.667
? FeSO4​,,,, →, ? Fe2​O3​,? SO2​,? SO3​,,,2,,,, →,1,1,1,,1.250,1,4,6.250
? ZnCO3​,,,, →, ? ZnO,? CO2​,,,,1,,,, →,1,1,,,1.000,1,3,5.000
? NI3​,,,, →, ? N2​,? I2​,,,,2,,,, →,1,3,,,2.000,1,3,6.000
? NaN3​,,,, →, ? Na,? N2​,,,,2,,,, →,2,3,,,2.333,2,3,7.333
? Li2​CO3​,,,, →, ? Li2​O,? CO2​,,,,1,,,, →,1,1,,,1.000,1,3,5.000
? BaCO3​,,,, →, ? BaO,? CO2​,,,,1,,,, →,1,1,,,1.000,1,3,5.000
? K2​CO3​,,,, →, ? K2​O,? CO2​,,,,1,,,, →,1,1,,,1.000,1,3,5.000
