Reactants,,,,,Products,,,,,Coefficient A,Coefficent B,Coefficent C,Coefficient D,,Coefficent F,Coefficent G,Coefficent H,Coefficient I
? C2​H4​,? O2​,,, →, ? CO2​,? H2​O,,,,1,3,,, →,2,2,,
? C2​H2​,? O2​,,, →, ? CO2​,? H2​O,,,,2,5,,, →,4,2,,
? CH4​,? O2​,,, →, ? CO,? H2​O,,,,2,3,,, →,2,4,,
? C2​H6​,? O2​,,, →, ? CO,? H2​O,,,,2,5,,, →,4,6,,
? C3​H8​,? O2​,,, →, ? CO,? H2​O,,,,2,7,,, →,6,8,,
? C4​H10​,? O2​,,, →, ? CO,? H2​O,,,,2,9,,, →,8,10,,
? C5​H12​,? O2​,,, →, ? CO,? H2​O,,,,2,11,,, →,10,12,,
? C8​H18​,? O2​,,, →, ? CO,? H2​O,,,,2,17,,, →,16,18,,
? C2​H4​,? O2​,,, →, ? CO,? H2​O,,,,1,2,,, →,2,2,,
? C2​H2​,? O2​,,, →, ? CO,? H2​O,,,,2,3,,, →,4,2,,
? CH3​OH,? O2​,,, →, ? CO2​,? H2​O,,,,2,3,,, →,2,4,,
? C2​H5​OH,? O2​,,, →, ? CO2​,? H2​O,,,,1,3,,, →,2,3,,
? HCOOH,? O2​,,, →, ? CO2​,? H2​O,,,,2,1,,, →,2,2,,
? CH3​COOH,? O2​,,, →, ? CO2​,? H2​O,,,,1,2,,, →,2,2,,
? CH2​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,1,,, →,1,1,,
? CH3​CHO,? O2​,,, →, ? CO2​,? H2​O,,,,2,5,,, →,4,4,,
? C3​H6​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,4,,, →,3,3,,
? C4​H8​O,? O2​,,, →, ? CO2​,? H2​O,,,,2,11,,, →,8,8,,
? C3​H7​OH,? O2​,,, →, ? CO2​,? H2​O,,,,2,9,,, →,6,8,,
? C4​H9​OH,? O2​,,, →, ? CO2​,? H2​O,,,,1,6,,, →,4,5,,
? C2​H5​COOH,? O2​,,, →, ? CO2​,? H2​O,,,,2,7,,, →,6,6,,
? C3​H7​COOH,? O2​,,, →, ? CO2​,? H2​O,,,,1,5,,, →,4,4,,
? C3​H6​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,4,,, →,3,3,,
? C4​H8​O,? O2​,,, →, ? CO2​,? H2​O,,,,2,11,,, →,8,8,,
? C5​H10​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,7,,, →,5,5,,
? C5​H10​O,? O2​,,, →, ? CO2​,? H2​O,,,,1,7,,, →,5,5,,
? (NH2​)2​CO,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,2,3,,, →,2,4,2,
? C6​H5​NH2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,31,,, →,24,14,2,
? CH3​NH2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,9,,, →,4,10,2,
? C2​H5​NH2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,15,,, →,8,14,2,
? C5​H5​N,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,25,,, →,20,10,2,
? CH3​NO2​,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,3,,, →,4,6,2,
? N2​H4​,? O2​,,, →, ? N2​,? H2​O,,,,1,1,,, →,1,2,,
? CH3​CN,? O2​,,, →, ? CO2​,? H2​O,? N2​,,,4,11,,, →,8,6,2,
? Zn,? HCl,,, →, ? ZnCl2​,? H2​,,,,1,2,,, →,1,1,,
? Fe,? CuSO4​,,, →, ? FeSO4​,? Cu,,,,1,1,,, →,1,1,,
? Mg,? AgNO3​,,, →, ? Mg(NO3​)2​,? Ag,,,,1,2,,, →,1,2,,
? Cu,? AgNO3​,,, →, ? Cu(NO3​)2​,? Ag,,,,1,2,,, →,1,2,,
? Al,? CuCl2​,,, →, ? AlCl3​,? Cu,,,,2,3,,, →,2,3,,
? Na,? H2​O,,, →, ? NaOH,? H2​,,,,2,2,,, →,2,1,,
? Cl2​,? NaBr,,, →, ? NaCl,? Br2​,,,,1,2,,, →,2,1,,
? Zn,? CuSO4​,,, →, ? ZnSO4​,? Cu,,,,1,1,,, →,1,1,,
? K,? H2​O,,, →, ? KOH,? H2​,,,,2,2,,, →,2,1,,
? Mg,? HCl,,, →, ? MgCl2​,? H2​,,,,1,2,,, →,1,1,,
? Ca,? H2​O,,, →, ? Ca(OH)2​,? H2​,,,,1,2,,, →,1,1,,
? Br2​,? KI,,, →, ? KBr,? I2​,,,,1,2,,, →,2,1,,
? Fe,? Pb(NO3​)2​,,, →, ? Fe(NO3​)2​,? Pb,,,,1,1,,, →,1,1,,
? Pb,? AgNO3​,,, →, ? Pb(NO3​)2​,? Ag,,,,1,2,,, →,1,2,,
? Al,? HCl,,, →, ? AlCl3​,? H2​,,,,2,6,,, →,2,3,,
? Zn,? SnCl2​,,, →, ? ZnCl2​,? Sn,,,,1,1,,, →,1,1,,
? Li,? H2​O,,, →, ? LiOH,? H2​,,,,2,2,,, →,2,1,,
? Cu,? Hg(NO3​)2​,,, →, ? Cu(NO3​)2​,? Hg,,,,1,1,,, →,1,1,,
? Mg,? FeSO4​,,, →, ? MgSO4​,? Fe,,,,1,1,,, →,1,1,,
? Cl2​,? KI,,, →, ? KCl,? I2​,,,,1,2,,, →,2,1,,
? AgNO3​,? NaCl,,, →, ? AgCl,? NaNO3​,,,,1,1,,, →,1,1,,
? BaCl2​,? Na2​SO4​,,, →, ? BaSO4​,? NaCl,,,,1,1,,, →,1,2,,
? HCl,? NaOH,,, →, ? NaCl,? H2​O,,,,1,1,,, →,1,1,,
? Pb(NO3​)2​,? KI,,, →, ? PbI2​,? KNO3​,,,,1,2,,, →,1,2,,
? H2​SO4​,? KOH,,, →, ? K2​SO4​,? H2​O,,,,1,2,,, →,1,2,,
? CaCl2​,? Na2​CO3​,,, →, ? CaCO3​,? NaCl,,,,1,1,,, →,1,2,,
? Na2​S,? HCl,,, →, ? NaCl,? H2​S,,,,1,2,,, →,2,1,,
? CuSO4​,? NaOH,,, →, ? Cu(OH)2​,? Na2​SO4​,,,,1,2,,, →,1,1,,
? Al(NO3​)3​,? NaOH,,, →, ? Al(OH)3​,? NaNO3​,,,,1,3,,, →,1,3,,
? HNO3​,? NH4​OH,,, →, ? NH4​NO3​,? H2​O,,,,1,1,,, →,1,1,,
? FeCl3​,? KOH,,, →, ? Fe(OH)3​,? KCl,,,,1,3,,, →,1,3,,
? Ba(NO3​)2​,? K2​CrO4​,,, →, ? BaCrO4​,? KNO3​,,,,1,1,,, →,1,2,,
? MgCl2​,? AgNO3​,,, →, ? Mg(NO3​)2​,? AgCl,,,,1,2,,, →,1,2,,
? CH3​COOH,? NaOH,,, →, ? CH3​COONa,? H2​O,,,,1,1,,, →,1,1,,
? Pb(C2​H3​O2​)2​,? K2​SO4​,,, →, ? PbSO4​,? KC2​H3​O2​,,,,1,1,,, →,1,2,,
? K2​CO3​,? HCl,,, →, ? KCl,? H2​O,? CO2​,,,1,2,,, →,2,1,1,
? Cd(NO3​)2​,? Na2​S,,, →, ? CdS,? NaNO3​,,,,1,1,,, →,1,2,,
? H3​PO4​,? NaOH,,, →, ? Na3​PO4​,? H2​O,,,,1,3,,, →,1,3,,
? ZnCl2​,? (NH4​)2​S,,, →, ? ZnS,? NH4​Cl,,,,1,1,,, →,1,2,,
? SrCl2​,? Li2​SO4​,,, →, ? SrSO4​,? LiCl,,,,1,1,,, →,1,2,,
? H2​,? O2​,,, →, ? H2​O,,,,,2,1,,, →,2,,,
? Na,? Cl2​,,, →, ? NaCl,,,,,2,1,,, →,2,,,
? Mg,? O2​,,, →, ? MgO,,,,,2,1,,, →,2,,,
? N2​,? H2​,,, →, ? NH3​,,,,,1,3,,, →,2,,,
? Fe,? Cl2​,,, →, ? FeCl3​,,,,,2,3,,, →,2,,,
? SO2​,? O2​,,, →, ? SO3​,,,,,2,1,,, →,2,,,
? Ca,? O2​,,, →, ? CaO,,,,,2,1,,, →,2,,,
? Al,? O2​,,, →, ? Al2​O3​,,,,,4,3,,, →,2,,,
? C,? O2​,,, →, ? CO2​,,,,,1,1,,, →,1,,,
? P4​,? O2​,,, →, ? P4​O10​,,,,,1,5,,, →,1,,,
? Li,? N2​,,, →, ? Li3​N,,,,,6,1,,, →,2,,,
? K,? Br2​,,, →, ? KBr,,,,,2,1,,, →,2,,,
? Cu,? O2​,,, →, ? CuO,,,,,2,1,,, →,2,,,
? Fe,? S,,, →, ? FeS,,,,,1,1,,, →,1,,,
? H2​,? Cl2​,,, →, ? HCl,,,,,1,1,,, →,2,,,
? Ba,? F2​,,, →, ? BaF2​,,,,,1,1,,, →,1,,,
? Ag,? S,,, →, ? Ag2​S,,,,,2,1,,, →,1,,,
? Zn,? O2​,,, →, ? ZnO,,,,,2,1,,, →,2,,,
? Na,? O2​,,, →, ? Na2​O,,,,,4,1,,, →,2,,,
? Ca,? N2​,,, →, ? Ca3​N2​,,,,,3,1,,, →,1,,,
? HgO,,,, →, ? Hg,? O2​,,,,2,,,, →,2,1,,
? CaCO3​,,,, →, ? CaO,? CO2​,,,,1,,,, →,1,1,,
? H2​O,,,, →, ? H2​,? O2​,,,,2,,,, →,2,1,,
? KClO3​,,,, →, ? KCl,? O2​,,,,2,,,, →,2,3,,
? NaHCO3​,,,, →, ? Na2​CO3​,? H2​O,? CO2​,,,2,,,, →,1,1,1,
? H2​O2​,,,, →, ? H2​O,? O2​,,,,2,,,, →,2,1,,
? AgCl,,,, →, ? Ag,? Cl2​,,,,2,,,, →,2,1,,
? MgCO3​,,,, →, ? MgO,? CO2​,,,,1,,,, →,1,1,,
? CuCO3​,,,, →, ? CuO,? CO2​,,,,1,,,, →,1,1,,
? Pb(NO3​)2​,,,, →, ? PbO,? NO2​,? O2​,,,2,,,, →,2,4,1,
? NH4​NO3​,,,, →, ? N2​O,? H2​O,,,,1,,,, →,1,2,,
? Al2​O3​,,,, →, ? Al,? O2​,,,,2,,,, →,4,3,,
? NaCl,,,, →, ? Na,? Cl2​,,,,2,,,, →,2,1,,
? FeSO4​,,,, →, ? Fe2​O3​,? SO2​,? SO3​,,,2,,,, →,1,1,1,
? ZnCO3​,,,, →, ? ZnO,? CO2​,,,,1,,,, →,1,1,,
? NI3​,,,, →, ? N2​,? I2​,,,,2,,,, →,1,3,,
? NaN3​,,,, →, ? Na,? N2​,,,,2,,,, →,2,3,,
? Li2​CO3​,,,, →, ? Li2​O,? CO2​,,,,1,,,, →,1,1,,
? BaCO3​,,,, →, ? BaO,? CO2​,,,,1,,,, →,1,1,,
? K2​CO3​,,,, →, ? K2​O,? CO2​,,,,1,,,, →,1,1,,
